Position,Position Rank,Player,Team,Bye Week,Projected Points,Roster Status,FantasySharks PID,Player Page
WR,73,Tank Dell,HOU,8,80,Available,16204,https://www.fantasysharks.com/players/playerpage.php?PID=16204
WR,74,Elic Ayomanor,TEN,9,80,Available,17073,https://www.fantasysharks.com/players/playerpage.php?PID=17073
WR,75,Rashid Shaheed,SEA,11,79,Other Roster,16080,https://www.fantasysharks.com/players/playerpage.php?PID=16080
WR,76,Matthew Golden,GBP,11,79,Available,17075,https://www.fantasysharks.com/players/playerpage.php?PID=17075
WR,77,Adonai Mitchell,NYJ,13,77,Other Roster,16626,https://www.fantasysharks.com/players/playerpage.php?PID=16626
WR,78,Jalen Nailor,LVR,13,76,Available,15786,https://www.fantasysharks.com/players/playerpage.php?PID=15786
WR,79,Marvin Mims,DEN,10,73,Other Roster,16189,https://www.fantasysharks.com/players/playerpage.php?PID=16189
WR,80,Keon Coleman,BUF,7,72,Other Roster,16617,https://www.fantasysharks.com/players/playerpage.php?PID=16617
WR,81,Xavier Legette,CAR,5,72,Available,16639,https://www.fantasysharks.com/players/playerpage.php?PID=16639
WR,82,Calvin Ridley,TEN,9,70,Available,13629,https://www.fantasysharks.com/players/playerpage.php?PID=13629
WR,83,Andrei Iosivas,CIN,6,69,Other Roster,16207,https://www.fantasysharks.com/players/playerpage.php?PID=16207
WR,84,Demario Douglas,NEP,11,69,Other Roster,16342,https://www.fantasysharks.com/players/playerpage.php?PID=16342
WR,85,Christian Kirk,SFO,8,68,Other Roster,13633,https://www.fantasysharks.com/players/playerpage.php?PID=13633
WR,86,Dontayvion Wicks,PHI,10,68,Available,16195,https://www.fantasysharks.com/players/playerpage.php?PID=16195
WR,87,Xavier Hutchinson,HOU,8,68,Available,16201,https://www.fantasysharks.com/players/playerpage.php?PID=16201
WR,88,Pat Bryant,DEN,10,68,Other Roster,17082,https://www.fantasysharks.com/players/playerpage.php?PID=17082
WR,89,Denzel Boston,CLE,11,63,Available,17500,https://www.fantasysharks.com/players/playerpage.php?PID=17500
WR,90,KC Concepcion,CLE,11,62,Available,17501,https://www.fantasysharks.com/players/playerpage.php?PID=17501
WR,91,KaVontae Turpin,DAL,14,58,Available,15981,https://www.fantasysharks.com/players/playerpage.php?PID=15981
WR,92,Joshua Palmer,BUF,7,56,Available,15319,https://www.fantasysharks.com/players/playerpage.php?PID=15319
WR,93,Devaughn Vele,NOS,8,56,Other Roster,16788,https://www.fantasysharks.com/players/playerpage.php?PID=16788
WR,94,Luke McCaffrey,WAS,7,56,Available,16635,https://www.fantasysharks.com/players/playerpage.php?PID=16635
WR,95,Ashton Dulin,IND,13,56,Available,14315,https://www.fantasysharks.com/players/playerpage.php?PID=14315
WR,96,Marquise Brown,PHI,10,56,Other Roster,14105,https://www.fantasysharks.com/players/playerpage.php?PID=14105
WR,97,Darnell Mooney,NYG,8,55,Other Roster,14974,https://www.fantasysharks.com/players/playerpage.php?PID=14974
WR,98,Brandon Aiyuk,SFO,8,54,Other Roster,14840,https://www.fantasysharks.com/players/playerpage.php?PID=14840
WR,99,Omar Cooper Jr.,NYJ,13,52,Available,17502,https://www.fantasysharks.com/players/playerpage.php?PID=17502
TE,1,Trey McBride,ARI,14,244,Other Roster,15794,https://www.fantasysharks.com/players/playerpage.php?PID=15794
TE,2,Brock Bowers,LVR,13,175,Other Roster,16641,https://www.fantasysharks.com/players/playerpage.php?PID=16641
TE,3,Colston Loveland,CHI,10,157,My Team,17104,https://www.fantasysharks.com/players/playerpage.php?PID=17104
TE,4,Kyle Pitts,ATL,11,146,My Team,15329,https://www.fantasysharks.com/players/playerpage.php?PID=15329
TE,5,Tyler Warren,IND,13,145,Other Roster,17102,https://www.fantasysharks.com/players/playerpage.php?PID=17102
TE,6,Dallas Goedert,PHI,10,139,Available,13674,https://www.fantasysharks.com/players/playerpage.php?PID=13674
TE,7,Mark Andrews,BAL,13,139,My Team,13671,https://www.fantasysharks.com/players/playerpage.php?PID=13671
TE,8,Travis Kelce,KCC,5,138,Other Roster,11244,https://www.fantasysharks.com/players/playerpage.php?PID=11244
TE,9,Harold Fannin,CLE,11,138,Available,17103,https://www.fantasysharks.com/players/playerpage.php?PID=17103
TE,10,Sam LaPorta,DET,6,137,My Team,16214,https://www.fantasysharks.com/players/playerpage.php?PID=16214
TE,11,Tucker Kraft,GBP,11,135,Available,16222,https://www.fantasysharks.com/players/playerpage.php?PID=16222
TE,12,George Kittle,SFO,8,134,Other Roster,13299,https://www.fantasysharks.com/players/playerpage.php?PID=13299
TE,13,Colby Parkinson,LAR,11,134,Available,14871,https://www.fantasysharks.com/players/playerpage.php?PID=14871
TE,14,Hunter Henry,NEP,11,131,Other Roster,12676,https://www.fantasysharks.com/players/playerpage.php?PID=12676
TE,15,T.J. Hockenson,MIN,6,125,Available,14138,https://www.fantasysharks.com/players/playerpage.php?PID=14138
TE,16,Isaiah Likely,NYG,8,125,Available,15798,https://www.fantasysharks.com/players/playerpage.php?PID=15798
TE,17,Juwan Johnson,NOS,8,125,Available,14861,https://www.fantasysharks.com/players/playerpage.php?PID=14861
TE,18,Jake Ferguson,DAL,14,123,Other Roster,15799,https://www.fantasysharks.com/players/playerpage.php?PID=15799
TE,19,Dalton Kincaid,BUF,7,120,Other Roster,16213,https://www.fantasysharks.com/players/playerpage.php?PID=16213
TE,20,Kenyon Sadiq,NYJ,13,119,Available,17543,https://www.fantasysharks.com/players/playerpage.php?PID=17543
TE,21,Chigoziem Okonkwo,WAS,7,118,Available,15889,https://www.fantasysharks.com/players/playerpage.php?PID=15889
