Position,Position Rank,Player,Team,Bye Week,Projected Points,Roster Status,FantasySharks PID,Player Page
QB,59,Aidan O'Connell,LVR,13,4,Available,16159,https://www.fantasysharks.com/players/playerpage.php?PID=16159
QB,60,Tyson Bagent,CHI,10,3,Available,16384,https://www.fantasysharks.com/players/playerpage.php?PID=16384
RB,1,Jonathan Taylor,IND,13,356,Other Roster,14802,https://www.fantasysharks.com/players/playerpage.php?PID=14802
RB,2,Bijan Robinson,ATL,11,346,Other Roster,16161,https://www.fantasysharks.com/players/playerpage.php?PID=16161
RB,3,James Cook,BUF,7,306,Other Roster,15715,https://www.fantasysharks.com/players/playerpage.php?PID=15715
RB,4,Jahmyr Gibbs,DET,6,305,My Team,16162,https://www.fantasysharks.com/players/playerpage.php?PID=16162
RB,5,Christian McCaffrey,SFO,8,292,Other Roster,13130,https://www.fantasysharks.com/players/playerpage.php?PID=13130
RB,6,Derrick Henry,BAL,13,291,Other Roster,12626,https://www.fantasysharks.com/players/playerpage.php?PID=12626
RB,7,Saquon Barkley,PHI,10,265,Other Roster,13604,https://www.fantasysharks.com/players/playerpage.php?PID=13604
RB,8,De'Von Achane,MIA,6,257,Other Roster,16167,https://www.fantasysharks.com/players/playerpage.php?PID=16167
RB,9,Chase Brown,CIN,6,250,Other Roster,16181,https://www.fantasysharks.com/players/playerpage.php?PID=16181
RB,10,Ashton Jeanty,LVR,13,249,Other Roster,17042,https://www.fantasysharks.com/players/playerpage.php?PID=17042
RB,11,Kyren Williams,LAR,11,227,Other Roster,15710,https://www.fantasysharks.com/players/playerpage.php?PID=15710
RB,12,Kenneth Walker III,KCC,5,223,Other Roster,15711,https://www.fantasysharks.com/players/playerpage.php?PID=15711
RB,13,Omarion Hampton,LAC,7,220,My Team,17044,https://www.fantasysharks.com/players/playerpage.php?PID=17044
RB,14,Travis Etienne,NOS,8,215,Other Roster,15253,https://www.fantasysharks.com/players/playerpage.php?PID=15253
RB,15,Javonte Williams,DAL,14,211,My Team,15256,https://www.fantasysharks.com/players/playerpage.php?PID=15256
RB,16,Breece Hall,NYJ,13,207,Other Roster,15708,https://www.fantasysharks.com/players/playerpage.php?PID=15708
RB,17,Cam Skattebo,NYG,8,205,Other Roster,17045,https://www.fantasysharks.com/players/playerpage.php?PID=17045
RB,18,Josh Jacobs,GBP,11,203,Other Roster,14073,https://www.fantasysharks.com/players/playerpage.php?PID=14073
RB,19,Jeremiyah Love,ARI,14,203,Available,17472,https://www.fantasysharks.com/players/playerpage.php?PID=17472
RB,20,Bucky Irving,TBB,10,201,Other Roster,16598,https://www.fantasysharks.com/players/playerpage.php?PID=16598
RB,21,Rhamondre Stevenson,NEP,11,200,Other Roster,15259,https://www.fantasysharks.com/players/playerpage.php?PID=15259
RB,22,Jaylen Warren,PIT,9,198,Other Roster,15742,https://www.fantasysharks.com/players/playerpage.php?PID=15742
RB,23,Chuba Hubbard,CAR,5,192,Other Roster,15261,https://www.fantasysharks.com/players/playerpage.php?PID=15261
RB,24,TreVeyon Henderson,NEP,11,191,Other Roster,17043,https://www.fantasysharks.com/players/playerpage.php?PID=17043
RB,25,D'Andre Swift,CHI,10,191,Other Roster,14797,https://www.fantasysharks.com/players/playerpage.php?PID=14797
RB,26,Bhayshul Tuten,JAC,7,189,Other Roster,17052,https://www.fantasysharks.com/players/playerpage.php?PID=17052
RB,27,Quinshon Judkins,CLE,11,182,Other Roster,17051,https://www.fantasysharks.com/players/playerpage.php?PID=17051
RB,28,David Montgomery,HOU,8,180,Other Roster,14071,https://www.fantasysharks.com/players/playerpage.php?PID=14071
RB,29,Rico Dowdle,PIT,9,174,Other Roster,14823,https://www.fantasysharks.com/players/playerpage.php?PID=14823
RB,30,RJ Harvey,DEN,10,174,Other Roster,17068,https://www.fantasysharks.com/players/playerpage.php?PID=17068
RB,31,Tony Pollard,TEN,9,173,Other Roster,14085,https://www.fantasysharks.com/players/playerpage.php?PID=14085
RB,32,Kenneth Gainwell,TBB,10,160,Available,15255,https://www.fantasysharks.com/players/playerpage.php?PID=15255
RB,33,Zach Charbonnet,SEA,11,153,Other Roster,16169,https://www.fantasysharks.com/players/playerpage.php?PID=16169
RB,34,J.K. Dobbins,DEN,10,148,Other Roster,14800,https://www.fantasysharks.com/players/playerpage.php?PID=14800
RB,35,Aaron Jones,MIN,6,137,Other Roster,13319,https://www.fantasysharks.com/players/playerpage.php?PID=13319
RB,36,Jacory Croskey-Merritt,WAS,7,136,Other Roster,17256,https://www.fantasysharks.com/players/playerpage.php?PID=17256
RB,37,Blake Corum,LAR,11,126,Other Roster,16593,https://www.fantasysharks.com/players/playerpage.php?PID=16593
RB,38,Woody Marks,HOU,8,125,Other Roster,17053,https://www.fantasysharks.com/players/playerpage.php?PID=17053
RB,39,Jonathon Brooks,CAR,5,121,Available,16597,https://www.fantasysharks.com/players/playerpage.php?PID=16597
RB,40,Tyrone Tracy,NYG,8,118,Other Roster,16747,https://www.fantasysharks.com/players/playerpage.php?PID=16747
RB,41,Kyle Monangai,CHI,10,116,Other Roster,17066,https://www.fantasysharks.com/players/playerpage.php?PID=17066
RB,42,Jordan Mason,MIN,6,113,Other Roster,15972,https://www.fantasysharks.com/players/playerpage.php?PID=15972
RB,43,Tyler Allgeier,ARI,14,108,Other Roster,15712,https://www.fantasysharks.com/players/playerpage.php?PID=15712
RB,44,Rachaad White,WAS,7,105,Other Roster,15721,https://www.fantasysharks.com/players/playerpage.php?PID=15721
RB,45,Tyjae Spears,TEN,9,99,Other Roster,16165,https://www.fantasysharks.com/players/playerpage.php?PID=16165
RB,46,Chris Rodriguez,JAC,7,98,Available,16174,https://www.fantasysharks.com/players/playerpage.php?PID=16174
RB,47,Kimani Vidal,LAC,7,94,Other Roster,16757,https://www.fantasysharks.com/players/playerpage.php?PID=16757
RB,48,Devin Singletary,NYG,8,85,Available,14080,https://www.fantasysharks.com/players/playerpage.php?PID=14080
RB,49,Isiah Pacheco,DET,6,84,Other Roster,15749,https://www.fantasysharks.com/players/playerpage.php?PID=15749
RB,50,James Conner,ARI,14,83,Other Roster,13146,https://www.fantasysharks.com/players/playerpage.php?PID=13146
RB,51,Tank Bigsby,PHI,10,78,Available,16164,https://www.fantasysharks.com/players/playerpage.php?PID=16164
RB,52,Jadarian Price,SEA,11,76,Available,17473,https://www.fantasysharks.com/players/playerpage.php?PID=17473
RB,53,Ray Davis,BUF,7,76,Available,16603,https://www.fantasysharks.com/players/playerpage.php?PID=16603
RB,54,Ty Johnson,BUF,7,74,Other Roster,14095,https://www.fantasysharks.com/players/playerpage.php?PID=14095
RB,55,Alvin Kamara,NOS,8,71,Other Roster,13132,https://www.fantasysharks.com/players/playerpage.php?PID=13132
RB,56,Jaylen Wright,MIA,6,71,Available,16610,https://www.fantasysharks.com/players/playerpage.php?PID=16610
RB,57,Michael Carter,TEN,9,71,Available,15258,https://www.fantasysharks.com/players/playerpage.php?PID=15258
RB,58,Dylan Sampson,CLE,11,70,Other Roster,17047,https://www.fantasysharks.com/players/playerpage.php?PID=17047
RB,59,Malik Davis,DAL,14,68,Available,15738,https://www.fantasysharks.com/players/playerpage.php?PID=15738
RB,60,Brian Robinson,ATL,11,68,Other Roster,15716,https://www.fantasysharks.com/players/playerpage.php?PID=15716
RB,61,Mike Washington Jr.,LVR,13,67,Available,17482,https://www.fantasysharks.com/players/playerpage.php?PID=17482
RB,62,Justice Hill,BAL,13,67,Other Roster,14086,https://www.fantasysharks.com/players/playerpage.php?PID=14086
RB,63,Jonah Coleman,DEN,10,66,Available,17477,https://www.fantasysharks.com/players/playerpage.php?PID=17477
RB,64,Emanuel Wilson,SEA,11,64,Other Roster,16432,https://www.fantasysharks.com/players/playerpage.php?PID=16432
RB,65,Samaje Perine,CIN,6,63,Available,13133,https://www.fantasysharks.com/players/playerpage.php?PID=13133
RB,66,Jordan James,SFO,8,56,Available,17055,https://www.fantasysharks.com/players/playerpage.php?PID=17055
RB,67,Sean Tucker,TBB,10,55,Available,16166,https://www.fantasysharks.com/players/playerpage.php?PID=16166
RB,68,Keaton Mitchell,LAC,7,53,Available,16178,https://www.fantasysharks.com/players/playerpage.php?PID=16178
RB,69,Braelon Allen,NYJ,13,51,Available,16596,https://www.fantasysharks.com/players/playerpage.php?PID=16596
RB,70,Emmett Johnson,KCC,5,46,Available,17474,https://www.fantasysharks.com/players/playerpage.php?PID=17474
RB,71,Kyle Juszczyk,SFO,8,45,Available,11367,https://www.fantasysharks.com/players/playerpage.php?PID=11367
RB,72,Jaleel McLaughlin,DEN,10,41,Available,16390,https://www.fantasysharks.com/players/playerpage.php?PID=16390
RB,73,Jeremy McNichols,WAS,7,38,Available,13143,https://www.fantasysharks.com/players/playerpage.php?PID=13143
RB,74,Jaydon Blue,DAL,14,37,Other Roster,17069,https://www.fantasysharks.com/players/playerpage.php?PID=17069
RB,75,Isaiah Davis,NYJ,13,37,Other Roster,16752,https://www.fantasysharks.com/players/playerpage.php?PID=16752
RB,76,Ollie Gordon,MIA,6,36,Other Roster,17059,https://www.fantasysharks.com/players/playerpage.php?PID=17059
RB,77,Trey Benson,ARI,14,35,Other Roster,16594,https://www.fantasysharks.com/players/playerpage.php?PID=16594
RB,78,Emari Demercado,KCC,5,34,Available,16385,https://www.fantasysharks.com/players/playerpage.php?PID=16385
RB,79,Raheim Sanders,CLE,11,33,Available,17062,https://www.fantasysharks.com/players/playerpage.php?PID=17062
RB,80,Devin Neal,NOS,8,33,Available,17046,https://www.fantasysharks.com/players/playerpage.php?PID=17046
RB,81,Brashard Smith,KCC,5,33,My Team,17049,https://www.fantasysharks.com/players/playerpage.php?PID=17049
RB,82,Kaelon Black,SFO,8,32,Available,17485,https://www.fantasysharks.com/players/playerpage.php?PID=17485
RB,83,Chris Brooks,GBP,11,30,Available,16387,https://www.fantasysharks.com/players/playerpage.php?PID=16387
RB,84,Isaac Guerendo,SFO,8,27,Available,16688,https://www.fantasysharks.com/players/playerpage.php?PID=16688
RB,85,Kendre Miller,NOS,8,26,Available,16171,https://www.fantasysharks.com/players/playerpage.php?PID=16171
RB,86,Hunter Luepke,DAL,14,25,Available,16391,https://www.fantasysharks.com/players/playerpage.php?PID=16391
RB,87,Zavier Scott,MIN,6,25,Available,17337,https://www.fantasysharks.com/players/playerpage.php?PID=17337
RB,88,Jawhar Jordan,HOU,8,21,Available,16773,https://www.fantasysharks.com/players/playerpage.php?PID=16773
RB,89,DJ Giddens,IND,13,20,Other Roster,17060,https://www.fantasysharks.com/players/playerpage.php?PID=17060
RB,90,Kaytron Allen,WAS,7,18,Available,17478,https://www.fantasysharks.com/players/playerpage.php?PID=17478
RB,91,Jaret Patterson,LAC,7,17,Available,15260,https://www.fantasysharks.com/players/playerpage.php?PID=15260
RB,92,Tyler Badie,DEN,10,16,Available,15718,https://www.fantasysharks.com/players/playerpage.php?PID=15718
RB,93,Ameer Abdullah,JAC,7,16,Available,12155,https://www.fantasysharks.com/players/playerpage.php?PID=12155
RB,94,Raheem Mostert,LVR,13,16,Available,12447,https://www.fantasysharks.com/players/playerpage.php?PID=12447
RB,95,LeQuint Allen,JAC,7,15,Available,17061,https://www.fantasysharks.com/players/playerpage.php?PID=17061
RB,96,Demond Claiborne,MIN,6,15,Available,17481,https://www.fantasysharks.com/players/playerpage.php?PID=17481
RB,97,Roschon Johnson,CHI,10,15,Available,16175,https://www.fantasysharks.com/players/playerpage.php?PID=16175
RB,98,Will Shipley,PHI,10,14,Available,16601,https://www.fantasysharks.com/players/playerpage.php?PID=16601
RB,99,MarShawn Lloyd,GBP,11,14,Available,16604,https://www.fantasysharks.com/players/playerpage.php?PID=16604
WR,1,Ja'Marr Chase,CIN,6,350,Other Roster,15281,https://www.fantasysharks.com/players/playerpage.php?PID=15281
WR,2,Puka Nacua,LAR,11,329,Other Roster,16211,https://www.fantasysharks.com/players/playerpage.php?PID=16211
WR,3,Jaxon Smith-Njigba,SEA,11,312,Other Roster,16185,https://www.fantasysharks.com/players/playerpage.php?PID=16185
WR,4,Amon-Ra St. Brown,DET,6,278,Other Roster,15287,https://www.fantasysharks.com/players/playerpage.php?PID=15287
WR,5,CeeDee Lamb,DAL,14,228,Other Roster,14832,https://www.fantasysharks.com/players/playerpage.php?PID=14832
WR,6,Zay Flowers,BAL,13,202,Other Roster,16190,https://www.fantasysharks.com/players/playerpage.php?PID=16190
WR,7,George Pickens,DAL,14,199,Other Roster,15762,https://www.fantasysharks.com/players/playerpage.php?PID=15762
WR,8,Rashee Rice,KCC,5,195,Other Roster,16194,https://www.fantasysharks.com/players/playerpage.php?PID=16194
WR,9,Justin Jefferson,MIN,6,195,My Team,14836,https://www.fantasysharks.com/players/playerpage.php?PID=14836
WR,10,Drake London,ATL,11,194,Other Roster,15751,https://www.fantasysharks.com/players/playerpage.php?PID=15751
WR,11,Nico Collins,HOU,8,193,Other Roster,15290,https://www.fantasysharks.com/players/playerpage.php?PID=15290
WR,12,Davante Adams,LAR,11,192,Other Roster,11675,https://www.fantasysharks.com/players/playerpage.php?PID=11675
WR,13,Terry McLaurin,WAS,7,191,Other Roster,14109,https://www.fantasysharks.com/players/playerpage.php?PID=14109
WR,14,A.J. Brown,NEP,11,190,Other Roster,14104,https://www.fantasysharks.com/players/playerpage.php?PID=14104
WR,15,Garrett Wilson,NYJ,13,188,Other Roster,15753,https://www.fantasysharks.com/players/playerpage.php?PID=15753
WR,16,Malik Nabers,NYG,8,188,Other Roster,16615,https://www.fantasysharks.com/players/playerpage.php?PID=16615
WR,17,Jameson Williams,DET,6,185,Other Roster,15756,https://www.fantasysharks.com/players/playerpage.php?PID=15756
WR,18,Tee Higgins,CIN,6,185,Other Roster,14835,https://www.fantasysharks.com/players/playerpage.php?PID=14835
