"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"329",14,"Andy Borregales",NE,"K16","23","270","332","294.3","24.4","-35"
"330",14,"Joe Milton III",DAL,"QB46","26","241","297","276.6","21.1","-"
"331",14,"Taylen Green",CLE,"QB47","23","268","301","277.0","12.6","-"
"332",14,"Marcus Mariota",WAS,"QB48","32","269","291","277.2","9.7","-"
"333",14,"Ben Sinnott",WAS,"TE46","24","264","365","313.1","32.7","-"
"334",14,"Charlie Kolar",LAC,"TE47","27","206","388","302.2","64.7","-"
"335",14,"Jameis Winston",NYG,"QB49","32","267","312","285.4","15.6","-"
"336",14,"Malik Davis",DAL,"RB88","27","264","315","286.6","17.9","-"
"337",14,"Eddy Pineiro",SF,"K17","30","281","334","305.7","19.1","-39"
"338",14,"Ja'Tavion Sanders",CAR,"TE48","23","261","387","322.0","36.3","-"
"339",14,"Trevor Etienne",CAR,"RB89","22","268","393","339.6","42.0","-"
"340",14,"Matt Hibner",BAL,"TE49","24","218","335","290.6","42.5","-"
"341",14,"Erick All Jr.",CIN,"TE50","25","263","344","310.5","27.7","-"
"342",14,"Justice Hill",BAL,"RB90","28","268","386","324.3","42.8","-51"
"343",14,"Quinn Ewers",MIA,"QB50","23","265","331","294.0","22.1","-"
"344",14,"Sam Roush",CHI,"TE51","22","218","301","269.5","34.5","-"
"345",14,"Will Howard",PIT,"QB51","24","265","316","296.2","18.3","-"
"346",14,"Isaac Guerendo",SF,"RB91","26","301","397","343.1","35.5","-"
"347",14,"Joshua Karty",FA,"K18","24","258","337","297.4","31.5","-"
"348",14,"Eli Heidenreich",PIT,"RB92","23","295","329","314.8","13.3","-"
"349",15,"Tanner Koziol",JAC,"TE52","22","196","358","300.2","55.7","-"
"350",15,"Luke McCaffrey",WAS,"WR121","25","260","398","317.2","46.5","-"
"351",15,"Devin Singletary",NYG,"RB93","29","273","357","305.2","27.9","-"
"352",15,"Spencer Rattler",NO,"QB52","25","276","291","282.0","6.4","-"
"353",15,"Tyler Higbee",LAR,"TE53","33","223","380","306.4","65.9","-"
"354",15,"San Francisco 49ers",SF,"DST17","-","291","355","308.6","24.6","-127"
"355",15,"Riley Leonard",IND,"QB53","23","282","351","309.0","27.7","-"
"356",15,"Calvin Austin III",NYG,"WR122","27","226","375","312.2","57.9","-"
"357",15,"Harrison Mevis",LAR,"K19","24","288","339","313.8","18.8","-131"
"358",15,"New Orleans Saints",NO,"DST18","-","212","355","292.3","53.4","-"
"359",15,"Jahan Dotson",ATL,"WR123","26","248","354","295.0","38.1","-"
"360",15,"J'Mari Taylor",JAC,"RB94","24","301","364","330.3","24.9","-94"
"361",15,"Joshua Palmer",BUF,"WR124","26","265","378","316.4","48.5","-"
"362",15,"Mack Hollins",NE,"WR125","32","239","377","316.8","50.3","-"
"363",15,"Malik Benson",LV,"WR126","23","229","369","298.0","62.1","-71"
"364",15,"Zavion Thomas",CHI,"WR127","22","242","400","318.8","59.9","-"
"365",15,"Cairo Santos",CHI,"K20","34","258","342","299.5","30.5","-"
"366",15,"Ty Johnson",BUF,"RB95","28","272","393","334.0","44.9","-"
"367",15,"Savion Williams",GB,"WR128","24","313","330","320.8","7.2","-"
"368",15,"Konata Mumpfield",LAR,"WR129","23","214","361","301.0","54.2","-"
"369",15,"Blake Grupe",IND,"K21","27","271","324","302.3","22.1","-"
"370",15,"Deion Burks",IND,"WR130","23","195","396","322.4","72.6","-"
"371",15,"Chicago Bears",CHI,"DST19","-","200","341","270.3","57.6","-78"
"372",15,"Garrett Nussmeier",KC,"QB54","24","307","334","325.8","10.2","-"
"373",15,"Dawson Knox",BUF,"TE54","29","296","351","330.2","23.4","-"
"374",15,"Samaje Perine",CIN,"RB96","30","295","398","330.4","38.8","-"
"375",15,"Jack Endries",CIN,"TE55","22","212","376","330.8","60.1","-"
"376",15,"Michael Trigg",DAL,"TE56","24","207","389","332.4","66.0","-91"
"377",15,"Noah Fant",NO,"TE57","28","256","371","334.4","40.9","-"
"378",15,"Darren Waller",CAR,"TE58","33","216","364","291.3","60.5","-"
"379",15,"Kendrick Bourne",ARI,"WR131","31","265","336","293.0","30.9","-"
"380",15,"Joe Flacco",CIN,"QB55","41","282","392","337.2","38.0","-"
"381",15,"Emari Demercado",KC,"RB97","27","302","398","348.2","39.7","-"
"382",15,"Tyler Bass",BUF,"K22","29","283","327","297.7","20.7","-119"
"383",15,"Will Shipley",PHI,"RB98","24","274","388","340.2","44.7","-"
"384",15,"Tyson Bagent",CHI,"QB56","26","264","387","340.4","44.4","-"
"385",15,"Xavier Hutchinson",HOU,"WR132","26","208","294","251.0","43.0","-"
"386",15,"Daniel Carlson",NO,"K23","31","218","293","255.5","37.5","-"
"387",15,"John Metchie III",CAR,"WR133","26","267","390","342.8","43.1","-"
"388",15,"Jaylin Lane",WAS,"WR134","24","284","381","342.8","31.8","-"
"389",15,"Jason Sanders",NYJ,"K24","30","222","353","305.7","59.3","-"
"390",15,"Trey Lance",LAC,"QB57","26","316","353","329.8","15.3","-"
"391",15,"Tai Felton",MIN,"WR135","23","245","395","345.0","53.1","-"
"392",15,"Noah Gray",KC,"TE59","27","326","374","355.2","16.4","-"
"393",15,"Mitchell Evans",CAR,"TE60","23","215","391","333.3","69.4","-"
"394",15,"Marlin Klein",HOU,"TE61","23","272","337","314.7","30.2","-"
"395",15,"Washington Commanders",WAS,"DST20","-","290","345","316.3","22.5","-"
"396",15,"Treylon Burks",WAS,"WR136","26","262","382","338.3","46.4","-"
"397",15,"Devontez Walker",BAL,"WR137","25","273","383","318.3","46.9","-"
"398",15,"KeAndre Lambert-Smith",LAC,"WR138","24","255","400","351.6","50.7","-"
"399",15,"Barion Brown",NO,"WR139","22","277","389","351.6","39.5","-111"
"400",15,"Luke Musgrave",GB,"TE62","26","338","375","352.2","13.1","-"
"401",15,"KaVontae Turpin",DAL,"WR140","30","292","370","320.7","35.0","-"
"402",15,"CJ Daniels",LAR,"WR141","24","304","390","352.8","31.1","-124"
"403",15,"Roman Hemby",LV,"RB99","24","303","392","341.0","38.7","-"
"404",15,"Nick Westbrook-Ikhine",IND,"WR142","29","254","318","286.0","32.0","-"
"405",15,"Will Levis",TEN,"QB58","27","335","367","348.0","12.7","-"
"406",15,"Audric Estime",NO,"RB100","22","308","349","332.0","17.4","-"
"407",15,"Kareem Hunt",FA,"RB101","31","306","362","333.7","22.9","-"
"408",16,"Brandon McManus",FA,"K25","35","302","311","306.5","4.5","-"
"409",16,"Arizona Cardinals",ARI,"DST21","-","303","316","309.5","6.5","-"
"410",16,"Dont'e Thornton Jr.",LV,"WR143","23","333","393","364.4","21.1","-"
"411",16,"Tutu Atwell",LAR,"WR144","26","302","390","358.3","33.5","-"
"412",16,"Trey Smack",GB,"K26","23","310","332","321.0","11.0","-158"
"413",16,"Dyami Brown",WAS,"WR145","26","243","404","348.7","74.8","-"
"414",16,"Joe Royer",CLE,"TE63","24","356","366","362.3","4.2","-"
"415",16,"Tanner McKee",PHI,"QB59","26","315","397","362.5","30.7","-"
"416",16,"Elijah Higgins",ARI,"TE64","25","352","394","370.6","15.4","-"
"417",16,"Dillon Gabriel",CLE,"QB60","25","326","387","364.0","24.5","-"
"418",16,"Tyren Montgomery",TEN,"WR146","25","317","395","364.5","29.2","-"
"419",16,"Reggie Virgil",ARI,"WR147","22","291","369","330.0","39.0","-"
"420",16,"Davis Mills",HOU,"QB61","27","316","386","354.7","29.0","-"
"421",16,"Roschon Johnson",CHI,"RB102","25","303","366","334.5","31.5","-"
"422",16,"Kendrick Law",DET,"WR148","23","293","379","336.0","43.0","-"
"423",16,"Will Kacmarek",MIA,"TE65","23","300","394","361.7","43.6","-"
"424",16,"Nate Boerkircher",JAC,"TE66","25","360","366","362.0","2.8","-"
"425",16,"Zach Ertz",FA,"TE67","35","310","376","343.0","33.0","-"
"426",16,"Jordan Whittington",LAR,"WR149","25","350","398","377.8","16.0","-"
"427",16,"Indianapolis Colts",IND,"DST22","-","342","345","343.5","1.5","-"
"428",16,"DeAndre Hopkins",BAL,"WR150","34","321","371","346.0","25.0","-"
"429",16,"Josh Cameron",JAC,"WR151","23","304","396","365.0","43.1","-"
"430",16,"Kenny Pickett",CAR,"QB62","28","358","385","367.0","12.7","-"
"431",16,"Roman Wilson",PIT,"WR152","25","319","383","351.0","32.0","-"
"432",16,"Colbie Young",CIN,"WR153","24","313","399","367.7","38.8","-"
"433",16,"Aidan O'Connell",LV,"QB63","28","340","397","368.0","23.3","-"
"434",16,"Tommy Tremble",CAR,"TE68","26","339","371","355.0","16.0","-"
"435",16,"Kaden Wetjen",PIT,"WR154","24","348","373","360.5","12.5","-"
"436",16,"Robert Henry Jr.",WAS,"RB103","24","331","391","361.0","30.0","-"
"437",16,"Gardner Minshew II",ARI,"QB64","30","340","385","362.5","22.5","-"
"438",16,"Dallen Bentley",DEN,"TE69","25","362","393","377.0","12.7","-"
"439",16,"Austin Hooper",ATL,"TE70","31","366","366","366.0","0.0","-"
"440",16,"Greg Dortch",DET,"WR155","28","343","395","369.0","26.0","-"
"441",16,"Ashton Dulin",IND,"WR156","29","345","405","375.0","30.0","-"
"442",16,"Riley Nowakowski",PIT,"TE71","24","356","394","375.0","19.0","-"
"443",16,"Luke Schoonmaker",DAL,"TE72","27","354","397","375.5","21.5","-"
"444",16,"Jeff Caldwell",KC,"WR157","23","375","396","388.3","9.5","-"
