player_name,team,position,overall_rank,position_rank,tier,projection,auction_value,source,bye_week,draft_year,draft_round,age_at_week_1,source_file
Puka Nacua,LAR,WR,1,1,,,,ESPN 2026 Dynasty Top 240,,2023,5,25.25,espnDynastyNFL26_CS_Dyn.pdf
Ja'Marr Chase,CIN,WR,2,2,,,,ESPN 2026 Dynasty Top 240,,2021,1,26.5,espnDynastyNFL26_CS_Dyn.pdf
Bijan Robinson,ATL,RB,3,1,,,,ESPN 2026 Dynasty Top 240,,2023,1,24.58,espnDynastyNFL26_CS_Dyn.pdf
Jahmyr Gibbs,DET,RB,4,2,,,,ESPN 2026 Dynasty Top 240,,2023,1,24.42,espnDynastyNFL26_CS_Dyn.pdf
Jaxon Smith-Njigba,SEA,WR,5,3,,,,ESPN 2026 Dynasty Top 240,,2023,1,24.5,espnDynastyNFL26_CS_Dyn.pdf
Amon-Ra St. Brown,DET,WR,6,4,,,,ESPN 2026 Dynasty Top 240,,2021,4,26.83,espnDynastyNFL26_CS_Dyn.pdf
Malik Nabers,NYG,WR,7,5,,,,ESPN 2026 Dynasty Top 240,,2024,1,23.08,espnDynastyNFL26_CS_Dyn.pdf
Justin Jefferson,MIN,WR,8,6,,,,ESPN 2026 Dynasty Top 240,,2020,1,27.17,espnDynastyNFL26_CS_Dyn.pdf
Jeremiyah Love,ARI,RB,9,3,,,,ESPN 2026 Dynasty Top 240,,2026,1,21.25,espnDynastyNFL26_CS_Dyn.pdf
CeeDee Lamb,DAL,WR,10,7,,,,ESPN 2026 Dynasty Top 240,,2020,1,27.42,espnDynastyNFL26_CS_Dyn.pdf
Trey McBride,ARI,TE,11,1,,,,ESPN 2026 Dynasty Top 240,,2022,2,26.75,espnDynastyNFL26_CS_Dyn.pdf
De'Von Achane,MIA,RB,12,4,,,,ESPN 2026 Dynasty Top 240,,2023,3,24.83,espnDynastyNFL26_CS_Dyn.pdf
Drake London,ATL,WR,13,8,,,,ESPN 2026 Dynasty Top 240,,2022,1,25.08,espnDynastyNFL26_CS_Dyn.pdf
Brock Bowers,LV,TE,14,2,,,,ESPN 2026 Dynasty Top 240,,2024,1,23.67,espnDynastyNFL26_CS_Dyn.pdf
Rashee Rice,KC,WR,15,9,,,,ESPN 2026 Dynasty Top 240,,2023,2,26.33,espnDynastyNFL26_CS_Dyn.pdf
Ashton Jeanty,LV,RB,16,5,,,,ESPN 2026 Dynasty Top 240,,2025,1,22.75,espnDynastyNFL26_CS_Dyn.pdf
Omarion Hampton,LAC,RB,17,6,,,,ESPN 2026 Dynasty Top 240,,2025,1,23.42,espnDynastyNFL26_CS_Dyn.pdf
Tetairoa McMillan,CAR,WR,18,10,,,,ESPN 2026 Dynasty Top 240,,2025,1,23.42,espnDynastyNFL26_CS_Dyn.pdf
Garrett Wilson,NYJ,WR,19,11,,,,ESPN 2026 Dynasty Top 240,,2022,1,26.08,espnDynastyNFL26_CS_Dyn.pdf
Nico Collins,HOU,WR,20,12,,,,ESPN 2026 Dynasty Top 240,,2021,3,27.42,espnDynastyNFL26_CS_Dyn.pdf
George Pickens,DAL,WR,21,13,,,,ESPN 2026 Dynasty Top 240,,2022,2,25.5,espnDynastyNFL26_CS_Dyn.pdf
Jonathan Taylor,IND,RB,22,7,,,,ESPN 2026 Dynasty Top 240,,2020,2,27.58,espnDynastyNFL26_CS_Dyn.pdf
Chris Olave,NO,WR,23,14,,,,ESPN 2026 Dynasty Top 240,,2022,1,26.17,espnDynastyNFL26_CS_Dyn.pdf
Jayden Daniels,WAS,QB,24,1,,,,ESPN 2026 Dynasty Top 240,,2024,1,25.67,espnDynastyNFL26_CS_Dyn.pdf
James Cook,BUF,RB,25,8,,,,ESPN 2026 Dynasty Top 240,,2022,2,26.92,espnDynastyNFL26_CS_Dyn.pdf
Christian McCaffrey,SF,RB,26,9,,,,ESPN 2026 Dynasty Top 240,,2017,1,30.25,espnDynastyNFL26_CS_Dyn.pdf
Carnell Tate,TEN,WR,27,15,,,,ESPN 2026 Dynasty Top 240,,2026,1,21.58,espnDynastyNFL26_CS_Dyn.pdf
Emeka Egbuka,TB,WR,28,16,,,,ESPN 2026 Dynasty Top 240,,2025,1,23.83,espnDynastyNFL26_CS_Dyn.pdf
Josh Allen,BUF,QB,29,2,,,,ESPN 2026 Dynasty Top 240,,2018,1,30.25,espnDynastyNFL26_CS_Dyn.pdf
Breece Hall,NYJ,RB,30,10,,,,ESPN 2026 Dynasty Top 240,,2022,2,25.25,espnDynastyNFL26_CS_Dyn.pdf
Saquon Barkley,PHI,RB,31,11,,,,ESPN 2026 Dynasty Top 240,,2018,1,29.58,espnDynastyNFL26_CS_Dyn.pdf
Zay Flowers,BAL,WR,32,17,,,,ESPN 2026 Dynasty Top 240,,2023,1,25.92,espnDynastyNFL26_CS_Dyn.pdf
DeVonta Smith,PHI,WR,33,18,,,,ESPN 2026 Dynasty Top 240,,2021,1,27.75,espnDynastyNFL26_CS_Dyn.pdf
A.J. Brown,NE,WR,34,19,,,,ESPN 2026 Dynasty Top 240,,2019,2,29.17,espnDynastyNFL26_CS_Dyn.pdf
Ladd McConkey,LAC,WR,35,20,,,,ESPN 2026 Dynasty Top 240,,2024,2,24.75,espnDynastyNFL26_CS_Dyn.pdf
Drake Maye,NE,QB,36,3,,,,ESPN 2026 Dynasty Top 240,,2024,1,24,espnDynastyNFL26_CS_Dyn.pdf
Colston Loveland,CHI,TE,37,3,,,,ESPN 2026 Dynasty Top 240,,2025,1,22.42,espnDynastyNFL26_CS_Dyn.pdf
Luther Burden III,CHI,WR,38,21,,,,ESPN 2026 Dynasty Top 240,,2025,2,22.67,espnDynastyNFL26_CS_Dyn.pdf
Jordyn Tyson,NO,WR,39,22,,,,ESPN 2026 Dynasty Top 240,,2026,1,22,espnDynastyNFL26_CS_Dyn.pdf
Rome Odunze,CHI,WR,40,23,,,,ESPN 2026 Dynasty Top 240,,2024,1,24.25,espnDynastyNFL26_CS_Dyn.pdf
Lamar Jackson,BAL,QB,41,4,,,,ESPN 2026 Dynasty Top 240,,2018,1,29.67,espnDynastyNFL26_CS_Dyn.pdf
Ken Walker III,KC,RB,42,12,,,,ESPN 2026 Dynasty Top 240,,2022,2,25.83,espnDynastyNFL26_CS_Dyn.pdf
Chase Brown,CIN,RB,43,13,,,,ESPN 2026 Dynasty Top 240,,2023,5,26.42,espnDynastyNFL26_CS_Dyn.pdf
Quinshon Judkins,CLE,RB,44,14,,,,ESPN 2026 Dynasty Top 240,,2025,2,22.83,espnDynastyNFL26_CS_Dyn.pdf
TreVeyon Henderson,NE,RB,45,15,,,,ESPN 2026 Dynasty Top 240,,2025,2,23.83,espnDynastyNFL26_CS_Dyn.pdf
Tyler Warren,IND,TE,46,4,,,,ESPN 2026 Dynasty Top 240,,2025,1,24.25,espnDynastyNFL26_CS_Dyn.pdf
Cam Skattebo,NYG,RB,47,16,,,,ESPN 2026 Dynasty Top 240,,2025,4,24.58,espnDynastyNFL26_CS_Dyn.pdf
Tee Higgins,CIN,WR,48,24,,,,ESPN 2026 Dynasty Top 240,,2020,2,27.58,espnDynastyNFL26_CS_Dyn.pdf
Jameson Williams,DET,WR,49,25,,,,ESPN 2026 Dynasty Top 240,,2022,1,25.42,espnDynastyNFL26_CS_Dyn.pdf
Jaxson Dart,NYG,QB,50,5,,,,ESPN 2026 Dynasty Top 240,,2025,1,23.25,espnDynastyNFL26_CS_Dyn.pdf
Harold Fannin Jr.,CLE,TE,51,5,,,,ESPN 2026 Dynasty Top 240,,2025,3,23.08,espnDynastyNFL26_CS_Dyn.pdf
Jalen Hurts,PHI,QB,52,6,,,,ESPN 2026 Dynasty Top 240,,2020,2,28.08,espnDynastyNFL26_CS_Dyn.pdf
Derrick Henry,BAL,RB,53,17,,,,ESPN 2026 Dynasty Top 240,,2016,2,32.67,espnDynastyNFL26_CS_Dyn.pdf
Marvin Harrison Jr.,ARI,WR,54,26,,,,ESPN 2026 Dynasty Top 240,,2024,1,24,espnDynastyNFL26_CS_Dyn.pdf
Kyle Pitts,ATL,TE,55,6,,,,ESPN 2026 Dynasty Top 240,,2021,1,25.92,espnDynastyNFL26_CS_Dyn.pdf
