player_name,team,position,overall_rank,position_rank,tier,projection,auction_value,source,bye_week,draft_year,draft_round,age_at_week_1,source_file
Jordan Love,GB,QB,131,19,,,,ESPN 2026 Dynasty Top 240,,2020,1,27.83,NFL26_CS_Dyn(new).pdf
Blake Corum,LAR,RB,132,40,,,,ESPN 2026 Dynasty Top 240,,2024,3,25.75,NFL26_CS_Dyn(new).pdf
Dalton Kincaid,BUF,TE,133,15,,,,ESPN 2026 Dynasty Top 240,,2023,1,26.83,NFL26_CS_Dyn(new).pdf
Matthew Stafford,LAR,QB,134,20,,,,ESPN 2026 Dynasty Top 240,,2009,1,38.58,NFL26_CS_Dyn(new).pdf
Kyler Murray,MIN,QB,135,21,,,,ESPN 2026 Dynasty Top 240,,2019,1,29.08,NFL26_CS_Dyn(new).pdf
Travis Kelce,KC,TE,136,16,,,,ESPN 2026 Dynasty Top 240,,2013,3,36.92,NFL26_CS_Dyn(new).pdf
Eli Stowers,PHI,TE,137,17,,,,ESPN 2026 Dynasty Top 240,,2026,2,23.33,NFL26_CS_Dyn(new).pdf
Isaiah Likely,NYG,TE,138,18,,,,ESPN 2026 Dynasty Top 240,,2022,4,26.33,NFL26_CS_Dyn(new).pdf
Rachaad White,WAS,RB,139,41,,,,ESPN 2026 Dynasty Top 240,,2022,3,27.58,NFL26_CS_Dyn(new).pdf
Jacory Croskey-Merritt,WAS,RB,140,42,,,,ESPN 2026 Dynasty Top 240,,2025,7,25.33,NFL26_CS_Dyn(new).pdf
Jonah Coleman,DEN,RB,141,43,,,,ESPN 2026 Dynasty Top 240,,2026,4,23,NFL26_CS_Dyn(new).pdf
Chris Brazzell II,CAR,WR,142,60,,,,ESPN 2026 Dynasty Top 240,,2026,3,22.92,NFL26_CS_Dyn(new).pdf
De'Zhaun Stribling,SF,WR,143,61,,,,ESPN 2026 Dynasty Top 240,,2026,2,23.67,NFL26_CS_Dyn(new).pdf
Malachi Fields,NYG,WR,144,62,,,,ESPN 2026 Dynasty Top 240,,2026,3,24.17,NFL26_CS_Dyn(new).pdf
Ja'Kobi Lane,BAL,WR,145,63,,,,ESPN 2026 Dynasty Top 240,,2026,3,22.08,NFL26_CS_Dyn(new).pdf
Braelon Allen,NYJ,RB,146,44,,,,ESPN 2026 Dynasty Top 240,,2024,4,22.58,NFL26_CS_Dyn(new).pdf
Tyler Allgeier,ARI,RB,147,45,,,,ESPN 2026 Dynasty Top 240,,2022,5,26.33,NFL26_CS_Dyn(new).pdf
Alvin Kamara,NO,RB,148,46,,,,ESPN 2026 Dynasty Top 240,,2017,3,31.08,NFL26_CS_Dyn(new).pdf
Tyjae Spears,TEN,RB,149,47,,,,ESPN 2026 Dynasty Top 240,,2023,3,25.17,NFL26_CS_Dyn(new).pdf
Elijah Sarratt,BAL,WR,150,64,,,,ESPN 2026 Dynasty Top 240,,2026,4,23.25,NFL26_CS_Dyn(new).pdf
Jalen Coker,CAR,WR,151,65,,,,ESPN 2026 Dynasty Top 240,,2024,U,24.83,NFL26_CS_Dyn(new).pdf
